JOSE AUGUSTO;MARFISA;bairro;Total_votos;Perc_JOSE AUGUSTO;Perc_MARFISA;Partido_JOSE AUGUSTO;Partido_MARFISA
245,00;454,00;DELMIRO GOUVEIA;699,00;35,05007153;64,94992847;PSDB;PDT
748,00;837,00;SEDE/AROEIRAS;1585,00;47,19242902;52,80757098;PSDB;PDT
352,00;684,00;LAJINHA/SERROTA;1036,00;33,97683398;66,02316602;PSDB;PDT
105,00;167,00;PASSA SEDE;272,00;38,60294118;61,39705882;PSDB;PDT
142,00;244,00;DONATO;386,00;36,78756477;63,21243523;PSDB;PDT
320,00;510,00;OTAVILANDIA/CROATA;830,00;38,55421687;61,44578313;PSDB;PDT
218,00;195,00;SANTO ANTONIO/TABULEIRO;413,00;52,78450363;47,21549637;PSDB;PDT
224,00;281,00;ANGICOS/MARRUAS DOS ROSAS;505,00;44,35643564;55,64356436;PSDB;PDT
84,00;87,00;TIMBAUBA;171,00;49,12280702;50,87719298;PSDB;PDT
222,00;181,00;OLHEIROS/PEDRA REDONDA;403,00;55,08684864;44,91315136;PSDB;PDT
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
