ENOQUE MORORO;TORRIM;bairro;Total_votos;Perc_ENOQUE MORORO;Perc_TORRIM;Partido_ENOQUE MORORO;Partido_TORRIM
276;349;DELMIRO GOUVEIA;625;44,16;55,84;PPS;PSDB
312;1017;SEDE/AROEIRAS;1329;23,47629797;76,52370203;PPS;PSDB
321;531;LAJINHA/SERROTA;852;37,67605634;62,32394366;PPS;PSDB
133;162;DONATO;295;45,08474576;54,91525424;PPS;PSDB
343;324;OTAVILANDIA/CROATA;667;51,42428786;48,57571214;PPS;PSDB
32;263;SANTO ANTONIO/TABOLEIRO;295;10,84745763;89,15254237;PPS;PSDB
244;391;ANGICOS/MARRUAS DOS ROSAS;635;38,42519685;61,57480315;PPS;PSDB
21;159;TIMBAUBA;180;11,66666667;88,33333333;PPS;PSDB
168;362;PASSA SEDE/OLHEIROS/PEDRA REDONDA;530;31,69811321;68,30188679;PPS;PSDB
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
