MARCOS MARQUES;TORRIM;bairro;Total_votos;Perc_MARCOS MARQUES;Perc_TORRIM;Partido_MARCOS MARQUES;Partido_TORRIM
438;166;DELMIRO GOUVEIA;604;72,51655629;27,48344371;PSB;PSDB
768;719;SEDE/AROEIRAS;1487;51,64761264;48,35238736;PSB;PSDB
601;225;LAJINHA/SERROTA;826;72,76029056;27,23970944;PSB;PSDB
193;127;DONATO;320;60,3125;39,6875;PSB;PSDB
484;279;OTAVILANDIA/CROATA;763;63,43381389;36,56618611;PSB;PSDB
154;229;SANTO ANTONIO/TABOLEIRO;383;40,20887728;59,79112272;PSB;PSDB
235;177;ANGICOS/MARRUAS DOS ROSAS;412;57,03883495;42,96116505;PSB;PSDB
92;84;TIMBAUBA;176;52,27272727;47,72727273;PSB;PSDB
208;202;PASSA SEDE/OLHEIROS/PEDRA REDONDA;410;50,73170732;49,26829268;PSB;PSDB
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
