MARFISA;TORRES NETO;bairro;Total_votos;Perc_MARFISA;Perc_TORRES;Partido_MARFISA;Partido_TORRES
418;251;DELMIRO GOUVEIA;669;62,4813154;37,5186846;PSB;PSDB
678;901;SEDE/AROEIRAS;1579;42,93856871;57,06143129;PSB;PSDB
569;348;LAJINHA/SERROTA;917;62,05016358;37,94983642;PSB;PSDB
97;168;PASSA SEDE;265;36,60377358;63,39622642;PSB;PSDB
254;97;DONATO;351;72,36467236;27,63532764;PSB;PSDB
500;313;OTAVILANDIA/CROATA;813;61,50061501;38,49938499;PSB;PSDB
190;219;SANTO ANTONIO/TABOLEIRO;409;46,45476773;53,54523227;PSB;PSDB
292;200;ANGICOS/MARRUAS DOS ROSAS;492;59,3495935;40,6504065;PSB;PSDB
82;78;TIMBAUBA;160;51,25;48,75;PSB;PSDB
160;205;OLHEIROS/PEDRA REDONDA;365;43,83561644;56,16438356;PSB;PSDB
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
